DeviceType	ActiveHours	PowerUsage	Temperature	SignalStrength	FirmwareAge	Cluster
Plug	10.42	77.05	42.36	-52.57	17	0
Plug	5.79	79.08	28.42	-90.0	22	0
Light	12.62	45.71	36.51	-66.84	1	4
Sensor	18.33	73.89	44.14	-53.56	50	1
Plug	9.22	54.825	37.91	-36.81	19	0
Speaker	9.74	76.93	49.16	-73.4	17	3
Plug	9.7	41.61	27.17	-48.39	33	0
Camera	8.79	53.66	41.1	-60.21	14	2
Sensor	11.29	68.64	38.54	-61.98	26	1
Sensor	13.3	25.4	25.03	-47.18	11	1
Plug	14.49	33.44	29.96	-65.74	26	0
Plug	10.46	49.13	38.56	-72.01	36	0
Light	9.73	39.1	36.44	-80.6	38	4
Plug	7.7	81.81	35.59	-40.46	32	0
Light	15.35	65.15	29.07	-40.84	44	4
Sensor	11.35	53.98	63.47	-76.44	27	1
Camera	8.63	75.16	47.95	-68.45	51	2
Light	16.71	76.55	34.85	-47.75	35	4
Light	8.94	26.13	58.83	-66.72	25	4
Light	11.67	51.08	51.95	-38.71	46	4
Plug	6.93	50.17	44.06	-69.6	21	0
Speaker	8.8	5.0	32.2	-54.91	21	3
Speaker	13.91	31.94	35.33	-78.15	1	3
Plug	11.96	44.42	44.33	-48.07	57	0
Speaker	12.17	39.96	37.54	-71.63	16	3
Plug	17.73	63.31	34.53	-51.31	34	0
Camera	7.76	33.31	40.16	-45.27	15	2
Camera	10.6	62.63	36.94	-47.04	23	2
Light	6.59	48.66	46.6	-58.2	12	4
Plug	5.5	59.42	33.17	-53.04	49	0
Speaker	7.09	29.47	40.99	-57.99	39	3
Sensor	8.45	83.75	31.96	-44.41	57	1
Plug	14.23	46.82	45.11	-72.03	27	0
Camera	12.69	51.59	30.33	-70.94	7	2
Light	11.73	74.09	52.04	-28.13	23	4
Light	15.71	47.08	36.94	-66.2	27	4
Camera	5.6	88.19	42.05	-51.24	47	2
Camera	16.17	35.52	40.87	-48.02	39	2
Speaker	8.54	40.49	42.54	-70.07	37	3
Speaker	7.35	33.13	38.42	-42.97	42	3
Camera	11.73	69.75	39.46	-66.7	60	2
Light	10.22	80.83	29.39	-53.92	24	4
Plug	20.28	78.28	37.1	-47.57	54	0
Sensor	20.84	24.56	24.47	-42.59	5	1
Camera	12.65	52.8	26.54	-52.85	40	2
Light	10.59	51.09	36.42	-39.15	58	4
Camera	16.85	30.44	42.48	-62.13	30	2
Speaker	11.2	19.68	55.56	-65.64	1	3
Light	7.56	53.53	27.97	-55.94	13	4
Plug	13.14	42.87	43.51	-74.3	19	0
Plug	10.8	64.22	47.32	-70.54	59	0
Plug	14.18	42.17	23.75	-46.33	42	0
Speaker	15.3	43.11	30.83	-48.11	53	3
Light	16.56	55.94	36.85	-48.15	43	4
Camera	7.47	20.6	29.61	-61.41	55	2
Camera	15.14	47.39	38.98	-63.24	1	2
Camera	9.69	83.47	31.92	-80.95	35	2
Light	16.92	45.35	40.5	-49.82	23	4
Light	14.44	39.99	50.14	-52.51	4	4
Light	9.11	71.04	37.77	-54.88	22	4
Light	11.96	73.72	31.32	-34.6	19	4
Sensor	9.71	82.05	30.54	-46.87	35	1
Light	9.56	69.7	26.08	-64.13	21	4
Speaker	16.3	66.44	49.17	-56.06	31	3
Light	5.93	47.26	44.95	-63.66	38	4
Sensor	15.39	61.83	34.91	-48.17	51	1
Plug	11.64	38.67	35.84	-51.04	54	0
Light	11.72	49.89	34.72	-79.45	37	4
Camera	9.53	78.16	37.24	-57.99	47	2
Light	3.7	35.24	33.55	-61.09	11	4
Sensor	18.31	74.57	27.07	-51.52	44	1
Light	6.9	40.24	28.22	-68.61	48	4
Light	8.93	57.87	32.06	-30.45	6	4
Plug	13.74	52.54	31.02	-73.99	55	0
Plug	12.98	67.84	54.36	-48.9	34	0
Plug	11.96	109.1	15.65	-59.12	27	0
Camera	11.88	75.12	22.64	-39.05	20	2
Speaker	9.1	85.57	48.46	-38.69	42	3
Camera	10.73	65.24	40.74	-60.52	33	2
Camera	8.77	36.96	40.89	-45.61	45	2
Speaker	5.13	24.1	40.67	-54.53	41	3
Plug	15.13	90.78	40.14	-62.59	22	0
Plug	18.94	38.83	58.58	-74.04	44	0
Sensor	13.71	47.23	25.28	-25.0	37	1
Camera	16.41	82.57	42.93	-45.93	28	2
Plug	2.88	34.74	35.67	-73.11	18	0
Camera	13.25	74.8	41.65	-41.75	53	2
Sensor	24.0	77.14	23.23	-64.44	47	1
Camera	6.49	54.825	34.69	-78.38	53	2
Camera	15.75	35.31	22.0	-65.31	48	2
Light	9.16	68.1	32.8	-61.1	32	4
Speaker	11.87	39.16	41.67	-47.4	20	3
Sensor	7.97	42.19	36.46	-49.78	54	1
Camera	11.82	42.43	43.94	-65.69	16	2
Plug	6.35	95.16	28.81	-50.66	42	0
Camera	13.67	51.03	33.51	-61.01	17	2
Light	3.84	51.14	34.69	-46.6	50	4
Plug	9.95	44.25	12.13	-58.25	39	0
Plug	21.92	60.31	37.56	-68.26	8	0
Sensor	13.79	38.64	42.54	-78.04	18	1
Light	12.56	29.53	40.92	-64.07	7	4
Light	9.38	26.05	49.86	-56.51	10	4
Plug	13.78	59.22	50.11	-28.78	58	0
Speaker	10.19	41.33	33.32	-43.18	2	3
Plug	20.29	75.14	44.91	-47.42	23	0
Camera	16.43	78.72	44.1	-73.17	57	2
Sensor	20.0	48.76	29.98	-64.05	10	1
Camera	12.27	7.5	38.54	-61.06	29	2
Camera	11.17	76.63	29.93	-55.72	55	2
Sensor	15.3	73.71	39.4	-42.15	56	1
Light	7.71	54.825	45.2	-74.01	52	4
Plug	6.96	49.93	41.75	-58.49	8	0
Plug	12.2	54.825	41.03	-61.64	34	0
Light	12.23	105.47	31.16	-59.36	56	4
Sensor	9.83	44.69	35.73	-61.91	36	1
Plug	16.74	55.82	51.62	-58.35	58	0
Light	9.35	91.98	25.35	-56.97	28	4
Camera	12.37	49.34	32.84	-61.19	19	2
Light	12.12	60.36	35.4	-62.25	34	4
Speaker	13.24	92.21	41.15	-46.57	54	3
Camera	11.57	65.14	38.0	-56.07	57	2
Sensor	12.67	35.88	30.55	-59.96	12	1
Plug	11.44	40.52	36.15	-60.25	24	0
Light	22.05	98.95	50.01	-74.24	49	4
Speaker	13.39	72.22	45.81	-39.99	60	3
Light	14.96	45.81	49.04	-49.26	11	4
Light	15.06	71.31	42.26	-66.3	14	4
Light	9.28	71.22	33.83	-75.7	50	4
Light	12.08	49.07	24.57	-38.78	11	4
Camera	16.19	30.7	34.19	-40.35	18	2
Speaker	11.25	75.5	36.44	-53.9	8	3
Sensor	15.21	73.37	45.29	-42.96	41	1
Camera	18.61	44.5	28.76	-37.03	45	2
Light	11.53	56.24	43.83	-60.9	42	4
Light	8.99	38.26	60.32	-27.57	34	4
Camera	10.54	85.25	34.83	-56.75	58	2
Plug	13.41	54.86	39.84	-54.93	46	0
Plug	7.27	65.96	31.62	-49.64	47	0
Light	17.5	49.75	30.82	-33.43	56	4
Light	11.64	50.39	25.6	-52.94	2	4
Plug	12.42	42.73	26.66	-58.87	48	0
Sensor	13.05	39.79	53.47	-37.65	45	1
Plug	8.44	45.91	36.82	-55.04	27	0
Sensor	11.96	80.99	37.25	-70.18	5	1
Light	13.25	79.27	37.67	-54.16	21	4
Light	10.86	26.83	38.94	-60.2	21	4
Speaker	16.94	60.5	44.96	-90.0	16	3
Light	9.77	54.69	24.97	-61.26	57	4
Plug	15.9	36.66	26.57	-64.71	40	0
Plug	12.03	68.64	49.41	-90.0	47	0
Camera	18.29	67.1	45.92	-51.82	35	2
Speaker	8.65	50.08	33.89	-79.49	52	3
Light	12.84	78.96	25.33	-44.08	53	4
Speaker	13.14	63.99	30.53	-70.91	49	3
Speaker	6.83	70.62	30.97	-56.44	16	3
Sensor	15.27	61.77	50.43	-72.73	3	1
Light	11.96	68.83	28.8	-32.78	35	4
Plug	10.87	32.79	51.05	-71.0	2	0
Light	10.83	57.89	27.48	-58.02	15	4
Camera	19.64	60.01	36.05	-48.02	47	2
Speaker	9.86	52.98	36.93	-45.02	28	3
Sensor	14.42	70.84	23.53	-58.06	3	1
Light	12.74	70.21	56.06	-52.05	20	4
Light	14.06	71.42	52.2	-63.57	13	4
Light	14.71	37.57	40.32	-56.25	38	4
Plug	5.19	5.0	38.54	-56.97	14	0
Camera	13.74	67.12	27.07	-66.04	42	2
Light	17.28	66.04	44.26	-39.38	18	4
Sensor	9.45	61.2	42.88	-71.87	40	1
Light	3.94	22.9	35.2	-66.01	35	4
Light	19.34	74.22	39.8	-47.49	48	4
Sensor	7.57	48.72	63.71	-49.29	11	1
Sensor	16.2	99.24	48.49	-67.71	6	1
Camera	12.73	42.34	39.59	-42.01	26	2
Speaker	3.98	60.83	46.17	-87.25	21	3
Speaker	20.14	72.27	38.56	-65.98	5	3
Plug	7.79	5.0	31.4	-43.09	56	0
Plug	7.91	76.27	40.78	-86.01	29	0
Camera	1.0	33.07	57.11	-54.46	56	2
Sensor	11.35	17.89	29.44	-59.33	43	1
Light	13.08	37.99	45.7	-58.96	53	4
Light	13.2	17.6	35.43	-63.37	15	4
Plug	5.81	61.63	47.76	-78.5	6	0
Camera	9.91	46.16	31.98	-49.84	48	2
Plug	8.06	58.21	32.53	-78.16	48	0
Camera	4.31	5.0	42.98	-40.46	2	2
Plug	8.3	54.5	38.53	-72.07	35	0
Camera	11.96	84.77	42.82	-68.91	34	2
Sensor	8.67	62.08	31.28	-72.07	56	1
Camera	12.62	77.66	41.03	-61.64	46	2
Sensor	14.73	50.12	38.0	-55.34	1	1
Sensor	5.3	31.48	44.26	-56.4	41	1
Plug	11.38	54.825	32.12	-60.74	40	0
Light	14.53	64.01	35.83	-65.8	44	4
Camera	16.22	46.9	44.51	-52.24	6	2
Plug	13.12	28.0	35.84	-50.02	38	0
Light	8.02	60.94	39.05	-59.76	57	4
Light	14.88	94.21	30.44	-56.33	19	4
Sensor	13.05	68.25	49.09	-42.61	51	1
Light	5.95	99.08	37.05	-37.83	13	4
Light	22.01	11.07	44.35	-71.79	49	4
Light	13.18	30.92	31.61	-49.02	30	4
Light	13.05	77.2	39.22	-42.51	10	4
Camera	12.54	59.94	39.43	-49.12	12	2
Plug	13.55	63.16	33.46	-49.06	47	0
Plug	10.83	70.19	48.98	-38.99	10	0
Sensor	12.64	62.63	38.2	-58.66	29	1
Plug	8.38	54.825	43.42	-67.25	3	0
Plug	12.87	66.58	37.17	-59.52	58	0
Plug	9.23	63.0	34.82	-51.74	60	0
Sensor	11.25	49.04	40.09	-62.45	15	1
Speaker	9.27	45.15	43.95	-58.03	47	3
Plug	14.15	21.22	47.14	-70.9	29	0
Plug	8.71	26.35	42.49	-47.37	57	0
Sensor	10.7	86.47	43.17	-61.25	13	1
Camera	15.64	39.52	28.87	-69.32	23	2
Light	12.74	61.22	32.79	-44.47	23	4
Speaker	11.59	17.97	32.16	-67.58	3	3
Light	2.01	20.7	25.67	-30.7	1	4
Speaker	11.96	62.6	38.93	-45.73	51	3
Light	9.4	38.28	43.53	-48.8	59	4
Sensor	6.34	57.47	44.29	-46.39	45	1
Plug	6.7	35.33	44.9	-53.06	39	0
Camera	12.94	65.68	36.75	-47.75	45	2
Speaker	11.4	76.58	40.26	-42.81	8	3
Light	10.37	34.8	40.4	-64.49	12	4
Plug	15.19	62.77	47.94	-62.02	29	0
Light	8.52	48.72	30.2	-54.84	40	4
Light	17.05	96.83	40.37	-67.69	25	4
Light	16.92	105.98	21.46	-59.17	31	4
Light	12.23	33.63	18.91	-48.2	8	4
Speaker	7.16	89.96	24.91	-32.65	6	3
Light	10.78	37.47	29.34	-55.23	27	4
Speaker	12.02	33.28	45.44	-57.64	5	3
Camera	15.73	87.57	33.6	-65.01	7	2
Light	11.75	72.5	42.6	-56.51	9	4
Plug	11.78	36.87	26.33	-50.73	22	0
Camera	11.1	42.3	23.82	-60.87	59	2
Light	12.74	59.22	24.49	-77.92	8	4
Sensor	8.37	76.17	46.24	-69.1	30	1
Light	14.43	51.95	39.68	-43.45	27	4
Speaker	7.24	45.5	33.73	-58.39	20	3
Light	11.97	59.29	23.3	-53.56	30	4
Speaker	11.8	52.04	34.03	-60.17	58	3
Speaker	16.01	30.44	49.97	-48.09	44	3
Sensor	13.14	82.16	24.53	-63.28	22	1
Plug	19.13	28.54	40.75	-77.13	11	0
Plug	18.16	44.57	44.0	-36.95	13	0
Speaker	8.83	80.71	40.44	-54.3	37	3
Light	10.35	39.93	34.34	-57.08	12	4
Speaker	6.55	30.2	55.77	-59.24	17	3
Camera	11.24	75.87	42.55	-70.17	17	2
Sensor	7.37	71.26	42.32	-48.18	41	1
Plug	11.43	56.21	37.71	-60.48	52	0
Sensor	10.74	73.28	49.23	-69.69	15	1
Sensor	16.53	55.66	50.57	-74.1	42	1
Speaker	7.85	67.97	40.25	-85.48	5	3
Light	8.57	81.61	19.93	-43.66	38	4
Camera	16.85	59.14	39.17	-69.9	59	2
Light	9.42	23.33	37.27	-62.03	16	4
Sensor	5.94	25.86	40.89	-39.05	39	1
Camera	14.47	43.84	35.35	-42.51	49	2
Sensor	15.27	62.24	46.52	-61.72	41	1
Speaker	10.98	45.29	32.4	-70.28	38	3
Light	11.96	71.26	45.47	-45.64	35	4
Light	15.44	54.825	26.82	-50.71	54	4
Light	11.61	51.09	66.11	-70.85	51	4
Light	9.45	70.36	18.53	-62.7	7	4
Light	7.2	35.3	39.94	-61.16	34	4
Light	7.4	68.93	53.28	-67.99	41	4
Plug	11.96	49.95	31.12	-50.88	38	0
Light	12.62	67.45	30.3	-53.45	15	4
Light	11.96	76.14	41.38	-67.76	9	4
Plug	3.63	28.14	44.09	-52.52	41	0
Light	16.27	44.09	31.5	-68.83	32	4
Sensor	11.71	94.88	35.4	-63.73	60	1
Sensor	5.51	67.8	23.06	-47.55	21	1
Camera	7.05	73.75	38.44	-55.92	11	2
Speaker	1.05	42.14	41.71	-55.75	22	3
Plug	13.85	26.83	36.61	-50.26	46	0
Sensor	8.59	39.5	29.48	-63.17	43	1
Sensor	15.0	84.65	38.58	-73.61	45	1
Plug	14.16	36.69	47.66	-70.02	11	0
Light	6.3	62.15	39.38	-54.92	60	4
Plug	12.91	51.19	41.52	-67.76	60	0
Light	13.61	84.19	36.69	-81.79	60	4
Sensor	15.11	101.82	43.83	-55.91	1	1
Camera	12.65	60.96	39.0	-38.53	31	2
Speaker	15.91	37.54	42.52	-50.47	4	3
Light	13.75	62.24	40.68	-54.98	31	4
Camera	14.36	76.97	29.41	-63.45	27	2
Camera	1.85	20.0	31.86	-69.36	4	2
Plug	11.48	68.54	38.08	-52.74	48	0
Light	11.3	64.13	44.51	-69.86	57	4
Plug	14.89	59.44	65.28	-57.14	55	0
Light	9.71	49.65	38.06	-75.01	36	4
Camera	9.57	60.85	46.67	-83.58	6	2
Plug	17.69	54.825	32.79	-54.7	23	0
Plug	9.99	29.45	33.98	-66.24	13	0
Speaker	9.75	62.84	30.03	-57.1	37	3
Camera	6.58	84.43	50.13	-41.27	17	2
Camera	3.3	30.41	27.18	-46.27	60	2
Camera	10.7	22.45	46.28	-69.23	48	2
Speaker	5.97	49.96	44.55	-61.0	39	3
Camera	15.97	50.46	44.33	-58.88	7	2
Speaker	12.97	5.07	30.72	-60.39	16	3
Light	11.57	35.29	43.03	-53.39	43	4
Speaker	8.44	97.16	39.32	-61.12	29	3
Light	11.59	68.95	40.84	-64.13	44	4
Speaker	13.45	46.8	41.87	-50.1	42	3
Sensor	8.63	80.1	46.84	-61.24	42	1
Plug	14.21	44.91	38.36	-49.91	17	0
Speaker	14.17	63.84	34.96	-56.13	33	3
Speaker	11.71	53.27	35.61	-55.52	59	3
Plug	12.94	87.01	49.78	-56.79	6	0
Camera	16.8	95.41	28.73	-64.11	34	2
Plug	3.6	62.49	47.45	-58.0	32	0
Sensor	13.59	45.07	33.18	-56.7	21	1
Light	8.66	48.2	41.23	-60.7	60	4
Plug	8.41	39.7	36.0	-90.0	11	0
Light	14.61	97.2	35.96	-72.5	19	4
Plug	20.16	61.12	38.12	-47.73	54	0
Light	13.85	77.26	30.23	-52.46	2	4
Plug	10.92	55.2	33.56	-53.04	11	0
Light	7.81	86.98	40.87	-69.15	50	4
Sensor	13.66	48.73	40.73	-44.05	51	1
Speaker	3.65	33.91	55.63	-86.19	27	3
Plug	12.7	64.37	31.76	-69.81	7	0
Camera	7.4	55.6	41.32	-53.16	52	2
Speaker	7.64	28.79	46.3	-61.66	49	3
Sensor	5.51	123.08	29.72	-71.77	37	1
Plug	13.38	35.87	15.6	-54.16	58	0
Camera	12.5	60.58	38.44	-64.01	52	2
Plug	14.33	66.88	24.15	-73.41	34	0
Camera	8.77	49.22	48.29	-55.14	19	2
Plug	13.73	43.84	36.41	-79.96	35	0
Light	19.9	77.9	33.26	-58.63	59	4
Camera	13.05	54.825	33.48	-56.35	5	2
Camera	14.76	69.63	43.73	-75.2	30	2
Plug	10.27	87.78	42.43	-61.26	33	0
Sensor	8.92	63.71	43.23	-84.35	24	1
Sensor	10.41	59.41	43.88	-72.8	2	1
Sensor	12.16	46.94	51.28	-56.39	19	1
Speaker	9.79	67.45	24.47	-54.9	22	3
Light	9.31	62.16	37.24	-55.58	56	4
Speaker	11.96	6.3	44.1	-82.64	16	3
Camera	6.18	45.24	37.17	-33.92	22	2
Speaker	7.95	25.23	27.47	-44.98	11	3
Plug	11.54	51.07	23.67	-38.42	25	0
Plug	7.32	75.22	39.85	-66.85	49	0
Plug	12.61	21.36	23.87	-61.71	54	0
Camera	17.5	56.57	41.43	-67.01	23	2
Camera	11.11	73.78	33.05	-73.97	15	2
Plug	15.1	61.69	34.8	-57.04	17	0
Speaker	10.87	57.42	28.72	-42.34	28	3
Plug	13.22	59.93	57.09	-46.48	5	0
Plug	11.24	87.51	47.94	-47.47	25	0
Light	16.32	64.67	33.3	-48.89	41	4
Light	11.91	63.95	45.55	-61.5	56	4
Plug	12.41	89.81	34.14	-75.61	27	0
Light	5.39	56.87	46.63	-60.36	18	4
Light	8.75	87.6	49.61	-36.87	46	4
Plug	17.2	59.04	42.86	-54.7	23	0
Light	8.66	70.64	36.46	-66.08	43	4
Plug	19.27	51.23	16.92	-45.91	5	0
Light	3.8	42.94	31.06	-48.62	56	4
Speaker	11.96	44.09	53.12	-47.46	38	3
Light	9.81	39.83	39.61	-60.4	7	4
Light	5.23	40.08	33.3	-50.26	4	4
Light	4.91	58.37	34.73	-66.68	20	4
Sensor	13.5	68.13	36.7	-55.02	37	1
Plug	18.4	110.63	34.37	-49.16	44	0
Camera	11.23	68.57	34.5	-47.66	50	2
Sensor	13.27	42.1	42.38	-45.51	18	1
Light	6.13	58.91	36.04	-72.2	39	4
Plug	15.78	49.12	34.64	-53.09	59	0
Speaker	21.63	80.61	43.13	-70.53	45	3
Camera	15.05	44.28	32.65	-62.95	4	2
Camera	10.15	73.88	52.63	-49.07	51	2
Sensor	13.2	45.15	40.12	-66.87	9	1
Light	12.44	113.79	53.4	-77.05	37	4
Light	11.36	72.5	34.35	-40.63	7	4
Plug	9.3	30.77	43.65	-27.88	2	0
Plug	15.13	45.13	44.92	-34.07	2	0
Speaker	14.13	72.58	46.62	-52.68	36	3
Light	12.7	73.9	42.42	-61.3	17	4
Speaker	16.59	69.44	28.75	-59.31	19	3
Light	8.96	61.54	32.04	-41.41	44	4
Plug	13.66	54.825	47.86	-44.75	40	0
Sensor	12.34	77.61	40.65	-61.76	52	1
Light	20.12	25.49	52.34	-64.24	55	4
Camera	9.88	65.41	63.67	-46.35	26	2
Light	8.0	52.11	41.06	-50.91	34	4
Plug	10.86	52.3	51.59	-66.74	19	0
Camera	11.09	45.13	31.49	-50.62	10	2
Plug	16.06	83.4	41.14	-52.71	30	0
Light	14.54	57.44	42.75	-63.56	58	4
Plug	14.29	8.88	31.25	-76.03	43	0
Camera	7.89	42.94	41.46	-77.35	49	2
Plug	6.06	82.34	32.51	-47.33	51	0
Plug	8.71	76.77	54.34	-27.4	35	0
Plug	13.23	68.38	38.62	-62.62	27	0
Speaker	12.91	88.68	55.22	-63.49	23	3
Light	10.13	12.68	27.84	-50.85	29	4
Light	12.82	79.18	41.24	-34.35	54	4
Light	7.51	53.39	26.55	-56.74	25	4
Sensor	8.01	59.22	32.76	-73.51	49	1
Light	11.9	34.64	34.04	-58.48	16	4
Light	7.91	76.06	44.6	-53.22	45	4
Light	10.48	12.63	40.17	-57.58	46	4
Plug	16.5	55.61	43.17	-31.33	53	0
Plug	11.55	64.34	43.77	-67.72	27	0
Light	13.55	58.4	57.32	-60.86	11	4
Sensor	6.91	62.83	34.63	-39.01	12	1
Camera	11.11	48.28	47.6	-79.02	11	2
Camera	11.84	70.21	37.88	-56.86	44	2
Camera	4.66	44.07	39.17	-72.47	11	2
Light	13.13	63.68	35.14	-90.0	37	4
Plug	14.31	52.1	41.84	-45.54	59	0
Light	17.97	19.89	41.95	-61.64	17	4
Camera	6.95	24.97	50.93	-51.85	37	2
Speaker	7.8	60.65	49.16	-59.07	1	3
Camera	10.14	28.21	23.87	-51.64	49	2
Camera	9.83	45.95	45.67	-55.62	36	2
Speaker	16.99	26.33	28.32	-66.07	48	3
Camera	20.79	64.83	36.54	-65.86	47	2
Speaker	8.65	62.79	39.25	-76.06	26	3
Speaker	8.31	39.41	38.77	-48.61	41	3
Camera	13.96	48.31	34.9	-59.74	59	2
Sensor	12.47	28.16	44.44	-48.26	42	1
Light	4.45	78.21	37.93	-39.72	34	4
Plug	11.23	51.13	38.31	-72.18	19	0
Plug	6.45	55.05	50.65	-49.1	48	0
Camera	10.28	73.09	32.4	-58.55	31	2
Plug	16.33	56.59	42.03	-59.57	58	0
Plug	15.95	70.34	26.61	-70.47	13	0
Speaker	13.19	14.93	33.88	-70.3	6	3
Speaker	7.92	41.03	46.92	-50.1	38	3
Camera	17.62	37.99	29.94	-51.58	56	2
Camera	15.69	36.63	35.59	-47.47	19	2
Plug	9.89	26.76	35.19	-64.87	54	0
Light	5.2	9.52	30.31	-59.61	28	4
Camera	14.47	52.81	40.06	-53.35	30	2
Plug	11.96	77.16	36.27	-53.65	44	0
Plug	12.52	37.18	26.97	-48.96	26	0
Sensor	10.58	63.21	50.62	-56.23	6	1
Camera	15.42	39.27	48.6	-57.4	12	2
Sensor	11.96	41.27	26.11	-53.59	5	1
Plug	8.68	49.49	41.98	-58.4	51	0
Sensor	7.67	88.27	48.71	-63.88	38	1
Camera	10.94	29.3	41.45	-68.83	7	2
Plug	6.7	12.84	26.44	-59.77	19	0
Plug	12.81	25.91	37.99	-65.91	13	0
Sensor	8.59	40.74	37.83	-44.24	7	1
Speaker	13.48	77.62	33.48	-25.88	45	3
Light	18.12	58.61	37.53	-62.73	38	4
Plug	15.7	48.9	35.32	-37.63	22	0
Light	14.34	55.45	40.12	-26.14	49	4
Light	11.96	83.86	58.13	-44.19	32	4
Camera	10.69	101.21	38.0	-75.64	34	2
Plug	6.68	61.96	33.31	-35.39	21	0
Light	3.89	36.83	43.88	-62.97	27	4
Light	17.16	78.11	46.92	-51.45	30	4
Camera	10.09	45.81	37.75	-75.34	35	2
Camera	14.95	55.77	51.42	-48.57	13	2
Camera	16.91	11.88	42.91	-43.96	53	2
Camera	17.9	68.4	35.6	-54.93	32	2
Plug	12.68	90.73	28.57	-55.8	57	0
Plug	10.84	68.52	26.94	-53.74	54	0
Light	9.52	49.2	55.74	-48.95	6	4
Light	13.16	45.25	49.09	-86.22	10	4
Camera	17.83	73.81	39.34	-41.56	35	2
Speaker	8.37	62.38	31.39	-70.51	37	3
Plug	8.7	59.78	28.93	-59.55	28	0
Sensor	19.59	83.29	39.48	-68.85	3	1
Light	12.58	49.64	40.63	-50.64	3	4
Camera	9.53	47.18	38.79	-60.58	6	2
Light	11.64	25.37	26.75	-38.38	31	4
Light	15.06	50.94	37.04	-55.06	24	4
Speaker	6.12	81.88	43.36	-53.95	47	3
Light	9.63	50.62	29.13	-58.89	28	4
Speaker	15.37	5.88	35.39	-65.2	32	3
Light	7.36	73.18	43.23	-63.38	55	4
Light	15.66	90.45	53.55	-71.01	14	4
Speaker	9.34	75.29	49.83	-63.57	54	3
Light	12.94	35.21	46.72	-33.85	35	4
Camera	13.65	39.09	35.06	-81.11	29	2
Light	13.68	42.34	36.49	-87.35	46	4
Speaker	3.46	40.1	40.85	-58.54	22	3
Light	8.17	62.37	59.39	-53.74	30	4
Light	16.79	69.92	45.96	-68.94	1	4
Speaker	9.34	80.24	30.63	-55.44	59	3
Camera	7.03	36.23	33.08	-49.8	56	2
Speaker	6.01	55.84	34.09	-48.84	17	3
Camera	5.64	54.825	44.62	-61.56	22	2
Plug	17.08	34.55	28.66	-50.68	26	0
Speaker	18.56	67.32	22.73	-69.67	4	3
Plug	4.61	60.25	42.89	-65.9	22	0
Sensor	14.97	76.93	49.86	-46.58	43	1
Plug	8.05	74.29	52.24	-59.13	4	0
Plug	13.17	56.0	40.31	-49.64	34	0
Sensor	14.01	57.63	45.51	-64.86	9	1
Speaker	10.69	30.44	33.62	-49.0	36	3
Plug	4.88	78.02	42.9	-54.81	40	0
Light	21.49	62.68	44.44	-59.87	44	4
Camera	18.33	50.72	38.79	-74.06	42	2
Light	10.17	92.78	28.39	-75.55	23	4
Light	6.36	36.16	24.98	-57.19	28	4
Speaker	18.96	88.98	35.59	-54.23	6	3
Camera	6.67	33.83	28.22	-48.76	58	2
Sensor	17.53	57.02	30.68	-60.5	21	1
Light	15.42	68.38	22.44	-46.99	59	4
Light	6.79	29.06	35.3	-49.34	28	4
Camera	9.68	45.56	39.19	-57.66	26	2
Sensor	13.97	58.38	36.86	-62.43	27	1
Light	9.91	10.81	31.51	-64.37	4	4
Camera	5.52	46.83	48.09	-52.04	29	2
Plug	2.39	5.0	44.6	-69.67	48	0
Sensor	5.33	63.1	45.41	-66.52	2	1
Sensor	14.41	59.74	57.17	-60.36	9	1
Light	9.47	77.82	44.28	-75.86	58	4
Camera	10.09	5.0	39.0	-59.15	8	2
Light	17.42	43.52	24.54	-65.78	4	4
Light	15.06	47.81	45.86	-59.44	54	4
Speaker	12.87	7.52	51.03	-49.95	4	3
Plug	6.24	67.59	43.9	-54.92	30	0
Plug	9.3	15.1	30.19	-74.52	32	0
Camera	7.64	34.42	18.81	-57.98	50	2
Sensor	5.1	54.74	44.91	-40.85	11	1
Speaker	12.31	54.78	38.07	-47.09	39	3
Camera	13.17	56.53	38.48	-60.72	30	2
Sensor	11.25	50.54	31.87	-72.08	13	1
Light	12.54	50.03	29.32	-38.54	8	4
Speaker	14.8	48.01	38.88	-50.79	15	3
Sensor	15.63	53.9	44.01	-41.86	29	1
Plug	12.57	81.09	48.33	-61.2	48	0
Plug	14.8	58.58	42.09	-63.0	3	0
Plug	7.45	64.98	11.97	-75.41	4	0
Camera	12.33	28.94	36.95	-54.2	43	2
Speaker	11.07	90.26	49.13	-68.21	54	3
Light	10.67	54.57	34.61	-56.18	26	4
Camera	12.21	41.91	42.28	-52.02	44	2
Speaker	13.55	58.1	37.99	-45.96	29	3
Plug	13.92	62.59	21.21	-68.69	57	0
Sensor	15.75	45.59	36.84	-61.96	7	1
Speaker	10.23	39.84	41.68	-72.51	53	3
Sensor	17.24	43.95	34.16	-67.3	9	1
Light	7.15	53.44	38.41	-64.73	58	4
Plug	11.82	100.7	33.61	-45.12	15	0
Light	6.41	46.61	52.4	-60.19	34	4
Light	16.43	63.76	27.24	-62.99	59	4
Light	18.34	42.91	37.89	-69.93	29	4
Camera	11.45	78.2	45.86	-55.18	31	2
Light	9.15	42.25	44.9	-58.12	46	4
Camera	6.86	54.825	31.56	-48.24	11	2
Camera	12.13	67.5	35.75	-57.11	28	2
Camera	10.83	45.25	28.31	-66.83	32	2
Speaker	15.99	54.01	26.97	-52.97	13	3
